Confortante;O Nosso Menu;Elaborado com maior cuidado e dedicação, para proporcionar-lhe um momento deliciosamente confortante.;;;;;;;;;;
Loja;Código;Familia;Sub Família;Regiao;Descrição;Composição;PVP1;Foto;status;ordem na Gfamilia;ordem na familia;Ordem Regiao
1;693;EMENTA;PEIXE;;Moqueca de Peixe com Camarão;Moqueca de Peixe com camarão, pirão e arroz branco;13,95;MOQUECA.jpg;1;1;7;
1;737;EMENTA;PEIXE;;Bacalhau à Presidente;Bacalhau, camarão, batata palha, molho de natas e broa de milho crocante, acompanhado com salada;10,95;;1;1;7;
1;201;EMENTA;ACOMPANHAMENTOS;;Salada Mista;;2,75;;1;1;8;
1;644;EMENTA;ACOMPANHAMENTOS;;Prato de Quinoa;;2,75;;1;1;8;
1;645;EMENTA;ACOMPANHAMENTOS;;Taça de Arroz;;1,75;;1;1;8;
1;646;EMENTA;ACOMPANHAMENTOS;;Taça Legumes;;1,75;;1;1;8;
1;647;EMENTA;ACOMPANHAMENTOS;;Dose de Batata;;1,75;;1;1;8;
1;100431;EMENTA;ACOMPANHAMENTOS;;Ovo estrelado;;1;;1;1;8;
1;405;EMENTA;DO CHEFE (por encomenda);;Tiborna de Bacalhau (3 pax);Lascas de bacalhau assado com broa de milho, batata a murro e açorda de bacalhau e camarão;40;Tiborna.jpeg;1;1;9;
1;505;EMENTA;DO CHEFE (por encomenda);;Rabo de Boi á Merkado(2 pax);Rabo de Boi guisado com mandioca;35;;1;1;9;
1;100269;EMENTA;DO CHEFE (por encomenda);;Fondue MK (misto);;15,9;;0;1;9;
1;100430;BEBIDAS;Aguas;;Água Natural pequena;;1,75;;1;2;100;
1;100041;BEBIDAS;Aguas;;Água Natural grande;;2,2;;1;2;100;
1;100043;BEBIDAS;Aguas;;Água Gaseificada grande;;2,2;;1;2;100;
1;100425;BEBIDAS;Aguas;;Água Gaseificada pequena;;1,55;;1;2;100;
1;100040;BEBIDAS;Aguas;;Agua 25cl;;1;;0;2;100;
1;676;BEBIDAS;Aguas;;Agua 75 cl MK;;1,25;;0;2;100;
1;643;BEBIDAS;Aguas;;Água Gaseificada 33cl;;2;;0;2;100;
1;100424;BEBIDAS;Aguas;;Garrafa Agua 1,5;;2,5;;0;2;100;
1;622;BEBIDAS;Sumos;;Refrigerante Lata;;1,75;;1;2;101;
1;623;BEBIDAS;Sumos;;Sumo do Dia;;2,64;;0;2;101;
1;100348;BEBIDAS;Sumos;;Nectares;;1,75;;1;2;101;
1;100411;BEBIDAS;Aguas;;FEVER-TREE;;2,85;;0;2;101;
1;100047;BEBIDAS;Cervejas;;Somersby;;2,35;;1;2;102;
1;100415;BEBIDAS;Cervejas;;CERVEJA MINI;;1;;0;2;102;
1;100428;BEBIDAS;Cervejas;;Artesanal;Consulte o nosso colaborador sobre os artigos disponiveis;4;;1;2;102;
1;739;BEBIDAS;Cervejas;;Super Bock ;;1,65;;1;2;102;
1;641;BEBIDAS;Sangrias;;Sangria Branca;;9;;1;2;103;
1;640;BEBIDAS;Sangrias;;Sangria Tinta;;9;;1;2;103;
1;642;BEBIDAS;Sangrias;;Sangria de Frutos Vermelhos;;10,5;;1;2;103;
1;100106;BEBIDAS;Sangrias;;Sangria de Espumante;;12;;1;2;103;
1;100102;BEBIDAS;Caipirinhas;;Caipirinha;;4,5;;0;2;103;
1;100103;BEBIDAS;Caipirinhas;;Caipiroska;;4,5;;0;2;103;
1;721;SOBREMESAS;Da Casa;;Pudim de Leite Condensado;;3,5;;1;3;10;
1;722;SOBREMESAS;Da Casa;;Delícia de Coco;;3,25;;1;3;10;
1;100361;SOBREMESAS;Da Casa;;Romeu e Julieta;;3,5;;1;3;10;
1;720;SOBREMESAS;Mousse;;Mousse de Lima;;3,25;;1;3;20;
1;723;SOBREMESAS;Mousse;;Mousse de Chocolate;;3,25;;1;3;20;
1;719;SOBREMESAS;Cheesecake;;Cheesecake com Frutos Vermelhos;;3,25;;1;3;30;
1;738;SOBREMESAS;Cheesecake;;Cheesecake com Oreo®;;3,5;;1;3;30;
1;632;SOBREMESAS;Fruta;;Ananás com Vinho do Porto;;3,85;;1;3;40;
1;677;SOBREMESAS;Fruta;;Fruta do Dia;;3;;0;3;40;
1;724;CAFETARIA;Quente;;Café Descafeinado;;1,05;;1;4;200;
1;100060;CAFETARIA;Quente;;Café;;1,05;;1;4;200;
1;100066;CAFETARIA;Quente;;Chá;;1,5;;1;4;200;
1;100178;CAFETARIA;Quente;;Carioca de Limão;;0,65;;1;4;200;
1;100281;ADEGA;Vinho Branco;;Monte de Cascas Reserva;;18,9;;1;5;300;
1;100282;ADEGA;Vinho Branco;;Vale da Veiga Vinhas Velhas DOURO;;12,9;;1;5;300;
1;100288;ADEGA;Vinho Branco;;Monte Cascas Colheita;;11;;1;5;300;
1;100290;ADEGA;Vinho Branco;;Cascas;;7,9;;1;5;300;
1;100292;ADEGA;Vinho Branco;;Soito Encruzado Reserva;;29;;1;5;300;
1;100341;ADEGA;Vinho Branco;;Cabo da Roca Bucelas;;15,8;;1;5;300;
1;100363;ADEGA;Vinho Branco;;Cascas Douro;;8,5;;1;5;300;
1;100365;ADEGA;Vinho Branco;;Vale da Veiga Colheita 2016;;10,5;;1;5;300;
1;100372;ADEGA;Vinho Branco;Alentejo;Pousio Selection;Produtor: xxx Castas: xxxxxx Notas de Prova: xxxxxx ;12,5;pou_sele_1.jpg;1;5;300;
1;100373;ADEGA;Vinho Branco;Alentejo;Pousio Reserva;;19;;1;5;300;
1;100376;ADEGA;Vinho Branco;;1808 Reserva Lisboa;;15,5;;1;5;300;
1;100388;ADEGA;Vinho Branco;;Cabaço - Branco;;9,2;;1;5;300;
1;100404;ADEGA;Vinho Branco;;Barrancoa Branco;;9;;1;5;300;
1;100405;ADEGA;Vinho Branco;;Barrancoa Branco 375cl;;5,8;;1;5;300;
1;100420;ADEGA;Vinho Branco;;1808 - Branco Colheita 375 ml;;4,8;;1;5;300;
1;100421;ADEGA;Vinho Branco;Alentejo;Carlos Reynolds;;12,9;;1;5;300;
1;100256;ADEGA;Vinho Tinto;Dão;SOITO;;16,5;;1;5;301;
1;100275;ADEGA;Vinho Tinto;;Monte Cascas Reserva;;18,9;;1;5;301;
1;100276;ADEGA;Vinho Tinto;;Monte Cascas Grande Reserva;;42;;1;5;301;
1;100277;ADEGA;Vinho Tinto;;Monte Cascas Colheita;;11;;1;5;301;
1;100278;ADEGA;Vinho Tinto;;Vale da Veiga Colheita;;11,5;;1;5;301;
1;100279;ADEGA;Vinho Tinto;;Vale da Veiga Reserva;;15;;1;5;301;
1;100286;ADEGA;Vinho Tinto;;Soito Reserva;;45;;1;5;301;
1;100287;ADEGA;Vinho Tinto;;Cabo da Roca Cabernet Sauvignon;;29;;1;5;301;
1;100298;ADEGA;Vinho Tinto;;MonteCascas Douro 375;;6,75;;1;5;301;
1;100336;ADEGA;Vinho Tinto;;Carlos Reynolds;;12,9;;1;5;301;
1;100351;ADEGA;Vinho Tinto;;BOTE tinto;;15,8;;1;5;301;
1;100368;ADEGA;Vinho Tinto;;Pousio Selection;;12,5;;1;5;301;
1;100369;ADEGA;Vinho Tinto;;Pousio Reserva;;19;;1;5;301;
1;100370;ADEGA;Vinho Tinto;;Pousio Alicante Bouschet;;26,5;;1;5;301;
1;100371;ADEGA;Vinho Tinto;;Cabo da Roca Bairrada;;15,8;;1;5;301;
1;100375;ADEGA;Vinho Tinto;;Monte Cascas Grande Reserva Alentejo;;42;;1;5;301;
1;100378;ADEGA;Vinho Tinto;;MÃOS;;15,99;;1;5;301;
1;100389;ADEGA;Vinho Tinto;;Cabaço - Tinto;;9,2;;1;5;301;
1;100401;ADEGA;Vinho Tinto;;Barrancoa Tinto;;9;;1;5;301;
1;100403;ADEGA;Vinho Tinto;;Barrancoa Tinto 375cl;;5,8;;1;5;301;
1;100423;ADEGA;Vinho Tinto;;1808 - Tinto Colheita 375ml;;4,8;;1;5;301;
1;100426;ADEGA;Vinho Tinto;;Taleiga;;11,5;;1;5;301;
1;100427;ADEGA;Vinho Tinto;;1808 - Tinto Colheita 750ml;;7,9;;1;5;301;
1;100037;ADEGA;Vinho Verde;;Quinta Beiredos A.C;;10,5;;1;5;302;
1;100038;ADEGA;Vinho Verde;;Conde Vilar Alvarinho;;18;;1;5;302;
1;100296;ADEGA;Vinho Verde;;Quinta de Beiredos Grande Escolha;;13,5;;1;5;302;
1;100297;ADEGA;Vinho Verde;;Vinho Verde;;8,9;;1;5;302;
1;100354;ADEGA;Vinho Verde;;Pequenos Rebentos Trajadura;;8,9;;1;5;302;
1;100355;ADEGA;Vinho Verde;;Pequenos Rebentos Loureiro;;9,5;;1;5;302;
1;100356;ADEGA;Vinho Verde;;Pequenos Rebentos Alvarinho;;15,9;;1;5;302;
1;100357;ADEGA;Vinho Verde;;Avesso da Montanha;;10,5;;1;5;302;
1;100358;ADEGA;Vinho Verde;;Cascas;;8,5;;1;5;302;
1;100359;ADEGA;Vinho Verde;;Ferro;;7,9;;1;5;302;
1;100422;ADEGA;Vinho Verde;;Casa Barroso Alvarinho Reserva;;15,9;;1;5;302;
1;100294;ADEGA;Vinho Rosé;;Cascas Douro;;8;;1;5;303;
1;100295;ADEGA;Vinho Rosé;;Monte Cascas Colheita;;11;;1;5;303;
1;100367;ADEGA;Vinho Rosé;;Pousio Selection;;12,5;;1;5;303;
